Procedure,Name,Address,Phone Number
Abdominal MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Abdominal MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Abdominal MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Ankle MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Ankle MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Ankle MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Arm MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Arm MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Arm MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Brain MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Brain MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Brain MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Chest MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Chest MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Chest MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Elbow MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Elbow MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Elbow MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Face MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Face MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Face MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Hip MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Hip MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Hip MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Jaw MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Knee MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Knee MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Knee MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Leg MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Leg MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Leg MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Pelvis MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Pelvis MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Pelvis MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Shoulder MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Shoulder MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Shoulder MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Spine MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Spine MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Spine MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Wrist MRI (no contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Wrist MRI (with and without contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
Wrist MRI (with contrast),Premier Diagnostic Imaging - Cookeville,"315 N Washington Ave
Suite 103
Cookeville, TN 38501",931-528-1800
